implementation,r,variant,sample,N,items,reps,calls,total_ns,per_call_us,sink,status,evidence
wrapper,4,torus_to_dft_rows,2,2048,128,8,1024,15521018,15.157244141,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_2.log
wrapper,4,torus_to_dft_rows,3,2048,128,8,1024,14226937,13.893493164,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_3.log
wrapper,4,torus_to_dft_rows,4,2048,128,8,1024,15544283,15.179963867,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_4.log
wrapper,4,torus_to_dft_rows,5,2048,128,8,1024,14803779,14.456815430,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_5.log
wrapper,4,torus_to_dft_rows,6,2048,128,8,1024,13571964,13.253871094,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_6.log
wrapper,4,torus_to_dft_rows,7,2048,128,8,1024,14588822,14.246896484,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_7.log
wrapper,4,torus_to_dft_rows,8,2048,128,8,1024,16215863,15.835803711,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_8.log
wrapper,4,torus_to_dft_rows,9,2048,128,8,1024,15565824,15.201000000,4562030954040261711,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_torus_to_dft_rows_9.log
wrapper,4,combined_current,0,2048,128,8,1024,36978030,36.111357422,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_0.log
wrapper,4,combined_current,1,2048,128,8,1024,35633019,34.797870117,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_1.log
wrapper,4,combined_current,2,2048,128,8,1024,38488004,37.585941406,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_2.log
wrapper,4,combined_current,3,2048,128,8,1024,38997436,38.083433594,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_3.log
wrapper,4,combined_current,4,2048,128,8,1024,39723994,38.792962891,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_4.log
wrapper,4,combined_current,5,2048,128,8,1024,37476807,36.598444336,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_5.log
wrapper,4,combined_current,6,2048,128,8,1024,33600386,32.812876953,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_6.log
wrapper,4,combined_current,7,2048,128,8,1024,33680201,32.890821289,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_7.log
wrapper,4,combined_current,8,2048,128,8,1024,35228985,34.403305664,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_8.log
wrapper,4,combined_current,9,2048,128,8,1024,33979327,33.182936523,17822576285093740891,PASS,repro/stage213_dft_wrapper_integration_preflight/run_wrapper_r4_combined_current_9.log
